,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
,,,,,,,,,,,,,,,,Kosta Perovic,Golden State Warriors,KK Partizan (Serbia),2006,2,8,38,Inter,,,Mississippi Valley State,3,
,,,,,,,,,,,,,,,,Yotam Halperin,Seattle SuperSonics,KK Olimpija (Slovenia),2006,2,23,53,Inter,,,Oral Roberts,3,
,,,,,,,,,,,,,,,,Damir Markota,San Antonio Spurs,KK Cibona (Croatia),2006,2,29,59,Inter,,,Le Mans Sarthe Basket (France),3,
,,,,,,,,,,,,,,,,Roko Ukic,Toronto Raptors,KK Split (Croatia),2005,2,11,41,Inter,,,Illawarra (Australia),3,
,,,,,,,,,,,,,,,,Johan Petro,Seattle SuperSonics,Elan Bearnais Pau-Orthez (France),2005,1,25,25,Inter,,,KK Crvena zvezda (Serbia),3,
,,,,,,,,,,,,,,,,Erazem Lorbek,Indiana Pacers,Fortitudo Pallacanestro Bologna (Italy),2005,2,16,46,Inter,,,ASVEL Basket (France),3,
,,,,,,,,,,,,,,,,Mickael Gelabale,Seattle SuperSonics,Real Madrid Baloncesto (Spain),2005,2,18,48,Inter,,,Overtime Elite,2,
,,,,,,,,,,,,,,,,Axel Hervelle,Denver Nuggets,Real Madrid Baloncesto (Spain),2005,2,22,52,Inter,,,Panathinaikos B.C. (Greece),2,
,,,,,,,,,,,,,,,,Cenk Akyol,Atlanta Hawks,Anadolu Efes S.K. (Turkey),2005,2,29,59,Inter,,,Elan Chalon (France),2,
,,,,,,,,,,,,,,,,Beno Udrih,San Antonio Spurs,Olimpia Milano (Italy),2004,1,28,28,Inter,,,Oakland,2,
,,,,,,,,,,,,,,,,Anderson Varejao,Orlando Magic,FC Barcelona Basquet (Spain),2004,2,1,30,Inter,,,Guangdong Southern Tigers (China),2,
,,,,,,,,,,,,,,,,Christian Drejer,New Jersey Nets,FC Barcelona Basquet (Spain),2004,2,22,51,Inter,,,Eastern Washington,2,
,,,,,,,,,,,,,,,,Mickael Pietrus,Golden State Warriors,Elan Bearnais Pau-Orthez (France),2003,1,11,11,Inter,,,San Sebastian Gipuzkoa BC (Spain),2,
,,,,,,,,,,,,,,,,Boris Diaw,Atlanta Hawks,Elan Bearnais Pau-Orthez (France),2003,1,21,21,Inter,,,CB Estudiantes (Spain),2,
,,,,,,,,,,,,,,,,Zoran Planinic,New Jersey Nets,KK Cibona (Croatia),2003,1,22,22,Inter,,,Basketball Lowen Braunschweig (Germany),2,
,,,,,,,,,,,,,,,,Carlos Delfino,Detroit Pistons,Fortitudo Pallacanestro Bologna (Italy),2003,1,25,25,Inter,,,Valencia BC (Spain),2,
,,,,,,,,,,,,,,,,Remon Van de Hare,Toronto Raptors,FC Barcelona Basquet (Spain),2003,2,23,52,Inter,,,STB Le Havre (France),2,
,,,,,,,,,,,,,,,,Nikoloz Tskitishvili,Denver Nuggets,Universo Treviso Basket (Italy),2002,1,5,5,Inter,,,Pallacanestro Biella (Italy),2,
,,,,,,,,,,,,,,,,Bostjan Nachbar,Houston Rockets,Universo Treviso Basket (Italy),2002,1,15,15,Inter,,,Maroussi B.C. (Greece),2,
,,,,,,,,,,,,,,,,Jiri Welsch,Philadelphia 76ers,KK Olimpija (Slovenia),2002,1,16,16,Inter,,,Paris Basket Racing (France),2,
,,,,,,,,,,,,,,,,Nenad Krstic,New Jersey Nets,KK Partizan (Serbia),2002,1,24,24,Inter,,,CB Cornella (Spain),2,
,,,,,,,,,,,,,,,,Milos Vujanic,New York Knicks,KK Partizan (Serbia),2002,2,7,35,Inter,,,Ulkerspor (Turkey),2,
